"","fov","cell_ID","x_global_px","y_global_px","x_local_px","y_local_px","z","target","CellComp"
"26",2,0,10085.8307020399,140014.83057997,2880.27514648438,3259.27502441406,0,"CXCR3","0"
"27",2,0,10096.0887586806,140015.605573866,2890.533203125,3260.05001831055,0,"NLRP2","Membrane"
"28",2,0,10078.7889539931,140010.466688368,2873.2333984375,3254.9111328125,0,"HLA-DRB1","0"
"29",2,0,10081.3888075087,140009.588880751,2875.83325195312,3254.03332519531,0,"ICAM1","0"
"30",2,0,10099.9127332899,140011.755537245,2894.35717773438,3256.19998168945,0,"MAPK14","0"
"31",2,0,10086.2357313368,140016.815534804,2880.68017578125,3261.25997924805,0,"KRT8","0"
"32",2,0,10072.8304578993,140003.930555556,2867.27490234375,3248.375,0,"HSP90AB1","Nuclear"
"33",2,0,10064.9723036024,140094.77223036,2859.41674804688,3339.21667480469,0,"MIF","0"
"34",2,0,10071.9891493056,140009.938886854,2866.43359375,3254.38333129883,4,"HSP90AA1","0"
"35",2,0,10084.0557996962,140025.410139296,2878.50024414062,3269.85458374023,4,"BAX","0"
"36",2,0,10078.1556532118,140015.475568983,2872.60009765625,3259.92001342773,4,"MALAT1","0"
"37",2,0,10073.6556532118,140002.655592177,2868.10009765625,3247.10003662109,4,"OASL","Nuclear"
"38",2,0,10088.3353407118,140015.195570204,2882.77978515625,3259.64001464844,4,"FGF18","0"
